cluster,posts,avg_confidence,avg_engagement,total_engagement,dominant_topic,first_seen,last_seen,keywords
12,36,0.997,1021.8,36783,Super Bowl LX,2025-09-01,2026-03-01,"man, super, super man, man super, rt, canelo, undisputed super, undisputed"
9,36,0.993,983.6,35411,Super Bowl LX,2025-08-28,2026-03-01,"super power, power, super, https, world super, world, bangladesh, modi"
44,54,0.93,411.4,22218,Super Bowl LX,2025-08-30,2026-02-25,"great, thank, great idea, super great, idea, photo, great job, super"
3,47,0.911,444.5,20890,Super Bowl LX,2025-08-29,2026-03-01,"bullish, super bullish, super, playainetwork, coinbureau, project, btc, playai"
37,39,0.985,287.2,11202,Winter Olympics 2026 Milano,2025-08-28,2026-02-28,"fall, fall winter, winter, fall 2026, rt, winter 2026, https, 2026"
17,39,0.979,218.0,8501,Winter Olympics 2026 Milano,2025-09-02,2026-03-01,"israel, eurovision, eurovision 2026, 2026, participate, rt, vienna, song"
51,78,0.808,97.8,7631,Winter Olympics 2026 Milano,2025-08-30,2026-03-01,"rt, 2026, nr, 2026 nr, stuns 2026, flight, happier, stuns"
0,39,0.95,17.7,692,Super Bowl LX,2025-09-01,2026-01-09,"自動化 rpa, 自動化, sale power, desktop 自動化, automate desktop, power automate, japan https, rpa"
53,42,0.953,0.1,5,Winter Olympics 2026 Milano,2025-09-03,2026-02-28,"rt, https, 2026, update, birthday, bought, 2023, song"
52,49,0.946,0.0,2,Super Bowl LX,2025-08-28,2026-02-22,"rt, super, super junior, junior, dealing, balls, water, streaming"
49,66,0.777,0.0,0,Winter Olympics 2026 Milano,2025-08-28,2026-03-01,"2026 https, rt, https, 2026, moving, 2020 2026, released 2026, released"
